         1         2         3         4         5         
12345678901234567890123456789012345678901234567890123456789
-----------------------------------------------------------
LABEL           |RA        |Dec        |Mag |C|PMRA |PMDEC|
-----------------------------------------------------------
SAO66585          12.0045833-21.72250000 5.57B9+0.028-0.011
62 Psc            12.0725000 +7.30000000 5.93G8+0.111+0.004
SAO09471          12.0958333 +5.28055555 5.75K2+0.758-1.146
25Nu Cas          12.2087500+50.96833333 4.89B9+0.035-0.006
63Del Psc         12.1708333 +7.58500000 4.43K4+0.085-0.052
64 Psc            12.2445833+16.94055555 5.07F8-0.003-0.204
35Nu And          12.4533333+41.07888888 4.53B5+0.023-0.019
SAO47464          12.3566666-13.56138888 5.59K5+0.105-0.104
SAO66602          12.3079166-24.13638888 5.90K2+0.078-0.051
SAO15245          12.2362500-46.69777777 6.27G8-0.008+0.017
65 Psc            12.4700000+27.71083333 7.0 F4+0.084-0.010
65 Psc            12.4716666+27.71027777 7.1 F5+0.091-0.009
SAO66608          12.3891666-23.36166666 6.28A3-0.008 0.000
SAO11424          12.6816666+64.24750000 5.39G0+0.030-0.012
SAO36702          12.5762500+45.00222222 6.15A0+0.065+0.006
19Phi2Cet         12.5316666-10.64444444 5.19F7-0.226-0.229
Lam Hyi           12.1475000-74.92333333 5.07K5+0.130-0.033
SAO11430          12.8183333+61.80583333 6.07K2-0.002+0.006
SAO21767          12.7391666+51.50805555 6.39F2+0.135-0.003
SAO15254          12.5154166-43.39472222 6.48A9+0.011+0.016
SAO143            13.7212500+83.70722222 5.62A4+0.062-0.022
SAO21775          12.8904166+51.57111111 6.21B9-0.010-0.019
Rho Phe           12.6716666-50.98694444 5.22F2+0.067+0.039
SAO09507          12.8262500 +3.38500000 6.37K0+0.016-0.067
SAO11444          13.2670833+61.12416666 4.82F8-0.071+0.172
SAO15270          12.9670833-43.70916666 6.90F2+0.025-0.013
SAO54225          13.2225000+38.54861111 6.69A2+0.029-0.021
SAO66647          13.1691666-24.00583333 5.46K2+0.035+0.035
20 Cet            13.2520833 -1.14416666 4.77M0+0.008-0.017
SAO54237          13.3675000+37.41805555 6.06K3+0.013-0.046
SAO21814          13.4483333+52.68916666 6.27A5+0.076-0.026
SAO66651          13.3016666-24.77694444 6.46F6+0.098+0.037
Lam1Tuc           13.1012500-69.50444444 6.22F7-0.007-0.086
26Ups1Cas         13.7504166+58.97277777 4.83K2-0.032-0.043
66 Psc            13.6466666+19.18833333 5.74A1+0.018-0.014
21 Cet            13.5733333 -8.74083333 6.16G5+0.018-0.052
SAO36763          13.7716666+48.67861111 6.27M2-0.022-0.006
SAO48276          13.4079166-62.87138888 5.70M4+0.073+0.004
36 And            13.7416666+23.62833333 5.47K1+0.131-0.031
SAO74365          13.8112500+24.55694444 6.20M4+0.020-0.015
SAO21846          14.0537500+57.99666666 6.21K3+0.037-0.014
SAO11481          14.2316666+68.77611111 6.37F4+0.137-0.021
67 Psc            13.9937500+27.20944444 6.09A5-0.020+0.013
SAO29032          13.9266666 -7.34722222 5.85K5-0.007-0.046
27Gam Cas         14.1770833+60.71666666 2.47B0+0.026-0.005
28Ups2Cas         14.1658333+59.18111111 4.63G8-0.092-0.046
SAO11484          14.1962500+60.36277777 5.55B9+0.032-0.008
22Phi3Cet         14.0062500-11.26666666 5.31K4-0.020-0.008
SAO66686          13.9812500-27.77555555 6.10M0 0.000+0.002
37Mu And          14.1883333+38.49944444 3.87A5+0.152+0.033
Lam2Tuc           13.7512500-69.52694444 5.45K2+0.006-0.045
38Eta And         14.3016666+23.41750000 4.42G8-0.044-0.048
SAO36795          14.4154166+45.83972222 6.12K2+0.013+0.005
SAO11502          14.6295833+66.35222222 5.97A0+0.043-0.006
68 Psc            14.4591666+28.99222222 5.42G6+0.008-0.008
SAO54306          14.5591666+33.95083333 5.98K0+0.035-0.072
SAO92183          14.4770833+13.69583333 6.32G8-0.011-0.013
SAO74402          14.5787500+21.40444444 6.37A2-0.006-0.003
SAO4288           15.1291666+70.98305555 6.39A4+0.082 0.000
23Phi4Cet         14.6829166-11.38000000 5.61G7-0.034-0.019
Alp Scl           14.6516666-29.35750000 4.31B7+0.022+0.004
SAO48293          14.5933333-60.69638888 6.23Am+0.050+0.018
SAO36832          15.0141666+44.71111111 6.84A2+0.011-0.024
SAO36833          15.0150000+44.71333333 6.04B9+0.016-0.023
SAO09581          14.9570833 +6.48305555 6.11M2+0.023-0.008
SAO181            17.1862500+86.25694444 4.25K2+0.076-0.012
SAO209            23.4600000+89.01555555 6.46A3+0.062-0.036
SAO21938          15.5766666+51.03500000 6.47A3-0.004-0.013
Xi Scl            15.3262500-38.91666666 5.59K0+0.069+0.045
SAO36875          15.7562500+47.37611111 6.45A9+0.088-0.015
39 And            15.7262500+41.34500000 5.98A5-0.020-0.010
69Sig Psc         15.7045833+31.80444444 5.50B9+0.015-0.028
SAO11551          15.9041666+61.07500000 5.92F0-0.006+0.004
Sig Scl           15.6100000-31.55194444 5.50A2+0.082+0.012
71Eps Psc         15.7358333 +7.89000000 4.28K0-0.078+0.023
Ome Phe           15.5075000-57.00250000 6.11G8+0.006+0.015
25 Cet            15.7608333 -4.83666666 5.43K0-0.108-0.106
SAO11557          16.0816666+61.58027777 5.84F6-0.070-0.022
SAO21967          16.0100000+52.50222222 5.99K2+0.001-0.059
SAO15343          15.7050000-46.39750000 5.36G8 0.000+0.002
SAO66774          15.8233333-29.52583333 6.29G5-0.114-0.030
26 Cet            15.9541666 +1.36666666 6.04F1+0.122-0.042
SAO21988          16.1950000+51.01000000 6.54B3+0.019-0.002
SAO74471          16.1150000+29.65861111 6.19F7+0.084-0.116
SAO48308          15.6787500-65.45611111 6.21M2+0.004 0.000
SAO54398          16.1516666+39.99111111 6.72F0+0.077-0.022
SAO193            19.0562500+87.14527777 6.25K2+0.051-0.027
73 Psc            16.2191666 +5.65638888 6.00K5+0.028-0.014
72 Psc            16.2725000+14.94611111 5.68F4+0.006+0.054
SAO11571          16.5950000+62.76166666 6.54A5+0.102-0.024
74Psi1Psc         16.4204166+21.47333333 5.34A1+0.050-0.016
74Psi1Psc         16.4237500+21.46527777 5.56A0+0.047-0.018
SAO4331           17.3012500+80.01166666 6.29G6-0.030-0.038
77 Psc            16.4550000 +4.90833333 6.35F3+0.022-0.121
77 Psc            16.4641666 +4.90944444 7.25F6+0.029-0.119
27 Cet            16.4033333 -9.97916666 6.12K0-0.034-0.033
SAO22015          16.7508333+56.93500000 6.43K2+0.100-0.110
28 Cet            16.5212500 -9.83944444 5.58A1+0.030+0.004
SAO22021          16.7895833+53.49833333 6.38K2+0.023-0.001
75 Psc            16.6400000+12.95611111 6.12G8+0.019+0.023
SAO66799          16.5320833-23.99250000 6.14G8-0.031-0.041
30Mu Cas          17.0683333+54.92027777 5.17G5+3.424-1.596
Bet Phe           16.5208333-46.71861111 3.31G8-0.027-0.001
SAO92925          16.6104166-35.66083333 6.61A1+0.069-0.023
41 And            17.0037500+43.94194444 5.03A3+0.165-0.070
SAO66814          16.8045833-23.99638888 6.37A7+0.098-0.036
